circuit_name,compiler,compile_time,raw_multiq_gates,compiled_multiq_gates,gate_reduction_per_s,reduction_factor
prep_select,cirq,30.43983006477356,9744.0,9712.0,0.03295993738404741,1.0032948929159802
prep_select,pytket,0.07296109199523926,9744.0,9712.0,13.751094802438615,1.0032948929159802
prep_select,qiskit,2.647547960281372,9744.0,9708.0,0.37910863066017825,1.003708281829419
prep_select,ucc,0.87229323387146,9744.0,9710.0,1.150417664419315,1.0035015447991762
prep_select,ucc_no_commutative,0.4472999572753906,9744.0,9710.0,2.243464432484502,1.0035015447991762
prep_select,ucc_no_cx,0.42398810386657715,9744.0,9710.0,2.366815331957907,1.0035015447991762
qaoa_barabasi_albert,cirq,1.8556759357452393,1176.0,1176.0,0.5388871950847388,1.0
qaoa_barabasi_albert,pytket,0.008148193359375,1176.0,1176.0,122.72659176029963,1.0
qaoa_barabasi_albert,qiskit,0.46822595596313477,1176.0,1176.0,2.135720985273046,1.0
qaoa_barabasi_albert,ucc,0.13652396202087402,1176.0,1176.0,7.32472150088278,1.0
qaoa_barabasi_albert,ucc_no_commutative,0.09151697158813477,1176.0,1176.0,10.926935000651296,1.0
qaoa_barabasi_albert,ucc_no_cx,0.08969902992248535,1176.0,1176.0,11.148392584224865,1.0
qcnn,cirq,0.8954541683197021,388.0,388.0,1.1167517393731894,1.0
qcnn,pytket,0.008449077606201172,388.0,388.0,118.35611490490435,1.0
qcnn,qiskit,0.08703827857971191,388.0,388.0,11.489197814087902,1.0
qcnn,ucc,0.0688021183013916,388.0,388.0,14.534436216330477,1.0
qcnn,ucc_no_commutative,0.05558300018310547,388.0,388.0,17.991112331211504,1.0
qcnn,ucc_no_cx,0.05614900588989258,388.0,388.0,17.809754316238227,1.0
qft,cirq,12.09186315536499,10050.0,4648.0,0.17881614123720252,2.1622203098106714
qft,pytket,0.060220956802368164,10050.0,5890.0,28.333688539953584,1.7062818336162988
qft,qiskit,11.763062953948975,10050.0,3244.0,0.26336908500210493,3.098027127003699
qft,ucc,1.0863919258117676,10050.0,4648.0,1.9902764908668016,2.1622203098106714
qft,ucc_no_commutative,0.9841279983520508,10050.0,4648.0,2.197092566649225,2.1622203098106714
qft,ucc_no_cx,0.9213058948516846,10050.0,4648.0,2.346908146244689,2.1622203098106714
qv,cirq,80.1462299823761,15000.0,14856.0,0.01259813535251529,1.0096930533117932
qv,pytket,53.55812883377075,15000.0,15000.0,0.018671302037151383,1.0
qv,qiskit,14.043762922286987,15000.0,14856.0,0.07189619042268534,1.0096930533117932
qv,ucc,5.3781211376190186,15000.0,14856.0,0.18774085363179466,1.0096930533117932
qv,ucc_no_commutative,3.795142889022827,15000.0,14856.0,0.26604875833061686,1.0096930533117932
qv,ucc_no_cx,3.780642032623291,15000.0,14856.0,0.2670692026907379,1.0096930533117932
square_heisenberg,cirq,55.356375217437744,2160.0,540.0,0.07225906653548307,4.0
square_heisenberg,pytket,0.0361330509185791,2160.0,2160.0,27.675493061833155,1.0
square_heisenberg,qiskit,0.2545599937438965,2160.0,540.0,15.713388192585573,4.0
square_heisenberg,ucc,0.2608509063720703,2160.0,540.0,15.334430137246729,4.0
square_heisenberg,ucc_no_commutative,0.2138381004333496,2160.0,540.0,18.705740426490298,4.0
square_heisenberg,ucc_no_cx,0.21174287796020508,2160.0,540.0,18.890836086358284,4.0
